,Country_Code,Country,Temp_Change,GDP_Change,CO2_Change,Temp_Factor,CO2_Factor
1,AFG,Afghanistan,0.0647631,7.539524704,0.002469515,H,M
2,AGO,Angola,0.033561,4.911339127,0.03149319,M,M
3,ALB,Albania,0.067387533,3.498279348,0.010598001,H,M
4,AND,Andorra,0.050158567,2.294635322,-0.044403457,H,L
5,ARE,United Arab Emirates,0.062797,4.447442729,-0.295575866,H,L
6,ARG,Argentina,0.002889833,3.224490827,0.043165051,L,M
7,ARM,Armenia,0.0228089,3.114864677,0.070239041,L,H
8,ATG,Antigua and Barbuda,0.016700333,2.639375414,0.066884171,L,H
9,AUS,Australia,0.008587333,3.085895842,0.01645017,L,M
10,AUT,Austria,0.059935567,1.885753147,-0.037016769,H,L
11,AZE,Azerbaijan,0.025395933,4.476870241,0.154213887,M,H
12,BDI,Burundi,0.027425667,1.081951711,0.000174778,M,M
13,BEL,Belgium,0.046706367,1.830371741,-0.101619465,M,L
14,BEN,Benin,0.040675,4.291113756,0.01744542,M,M
15,BFA,Burkina Faso,0.030635,5.625973239,0.004559994,M,M
16,BGD,Bangladesh,0.017732,5.435287779,0.015721673,L,M
17,BGR,Bulgaria,0.079981233,1.42489257,-0.03261026,H,L
18,BHR,Bahrain,0.069993333,5.06325174,-0.042841154,H,L
19,BHS,Bahamas,0.010270667,1.230709024,-0.093662365,L,L
20,BIH,Bosnia and Herzegovina,0.069593033,10.35509605,0.258077535,H,H
21,BLR,Belarus,0.033714633,2.661594467,0.245348303,M,H
22,BLZ,Belize,0.030573667,4.263372095,-0.023472365,M,L
23,BOL,Bolivia,-0.002521,4.153098733,0.04407352,L,M
24,BRA,Brazil,0.037172667,2.535203533,0.031843188,M,M
25,BRB,Barbados,0.021553,0.8509899,-0.005091372,L,L
26,BRN,Brunei,0.027784333,1.292147273,-0.067583339,M,L
27,BTN,Bhutan,0.0360505,6.732946379,0.054498774,M,M
28,BWA,Botswana,0.050015667,4.60820516,0.03789963,H,M
29,CAF,Central African Republic,0.022436333,1.108915618,-0.000235277,L,M
30,CAN,Canada,0.0633347,2.606465559,-0.005269924,H,L
31,CHE,Switzerland,0.0474753,1.564030457,-0.08651229,M,L
32,CHL,Chile,0.030471967,4.874429152,0.095683853,M,H
33,CHN,China,0.034744933,9.87244177,0.197885911,M,H
34,CIV,Cote d'Ivoire,0.033209333,2.871475431,0.001482495,M,M
35,CMR,Cameroon,0.025416,3.169150204,0.01352254,M,M
36,COD,Congo (Democratic Republic of the),0.027070667,1.27931397,-0.002491276,M,L
37,COG,Congo (Republic of the),0.028274333,3.041587989,0.005464784,M,M
38,COL,Colombia,0.033347667,3.59220813,0.013539207,M,M
39,COM,Comoros,0.015481,2.521956385,0.003911261,L,M
40,CPV,Cape Verde,0.03027,7.149279468,0.0294328,M,M
41,CRI,Costa Rica,0.024175333,4.413356854,0.023820902,L,M
42,CUB,Cuba,0.004996667,2.158963166,-0.009085985,L,L
43,CYP,Cyprus,0.064097667,3.01388297,-0.023731383,H,L
44,CZE,Czech Republic,0.063926033,1.894344168,0.386955946,H,H
45,DEU,Germany,0.048051167,1.511855766,-0.111300695,M,L
46,DJI,Djibouti,0.031634333,7.13675973,0.004442948,M,M
47,DMA,Dominica,0.021999667,1.815265357,0.067445352,L,H
48,DNK,Denmark,0.0320294,1.709963979,-0.245766674,M,L
49,DOM,Dominican Republic,0.022673,5.309628235,0.041909244,L,M
50,DZA,Algeria,0.062144333,2.969230876,0.028196414,H,M
51,ECU,Ecuador,0.020415333,3.194858601,0.036808748,L,M
52,EGY,Egypt,0.047133667,4.307578223,0.04691894,M,M
53,ERI,Eritrea,0.040512667,3.784355486,0,M,M
54,ESP,Spain,0.037601,2.020509499,-0.021653045,M,L
55,EST,Estonia,0.012063267,3.971529968,0.504320841,L,H
56,ETH,Ethiopia,0.033213667,6.844539237,0.003334273,M,M
57,FIN,Finland,0.037855867,1.746248114,-0.094530289,M,L
58,FJI,Fiji,0.027841667,2.367733562,0.057318402,M,H
59,FRA,France,0.040418567,1.540543086,-0.266867562,M,L
61,FSM,Federated States of Micronesia,0.035700667,1.115575628,0.05190328,M,M
62,GAB,Gabon,0.029747,2.329254064,-0.079947145,M,L
63,GBR,United Kingdom,0.0289016,2.070780425,-0.163760522,M,L
64,GEO,Georgia,0.027491033,0.689260875,0.108686685,M,H
65,GHA,Ghana,0.039441,5.386133879,0.012155483,M,M
66,GIN,Guinea,0.027076667,4.006264317,0.003924243,M,M
67,GMB,Gambia,0.027388333,2.810439062,0.001917152,M,M
68,GNB,Guinea-Bissau,0.028246333,2.342213938,-0.000474784,M,M
70,GRC,Greece,0.074101333,0.895780186,-0.055311658,H,L
71,GRD,Grenada,0.024336,2.858962525,0.051492853,L,M
72,GRL,Greenland,0.091427667,2.247237036,0.111801576,H,H
73,GTM,Guatemala,0.037772,3.720131078,0.020656588,M,M
74,GUY,Guyana,0.031632667,3.831677758,0.063311853,M,H
75,HND,Honduras,0.029310667,3.669510029,0.021165158,M,M
76,HRV,Croatia,0.067430867,2.167616669,0.167575093,H,H
77,HTI,Haiti,0.019540333,0.906283527,0.005450174,L,M
78,HUN,Hungary,0.068401567,1.971426527,-0.0711554,H,L
79,IDN,Indonesia,0.027868667,4.838489534,0.047203726,M,M
80,IND,India,0.033728,6.317035836,0.043172028,M,M
81,IRL,Ireland,0.011956267,5.342977818,-0.038173267,L,L
82,IRN,Iran,0.059157533,3.377569317,0.174966607,H,H
83,IRQ,Iraq,0.046039267,7.261366611,0.105600229,M,H
84,ISL,Iceland,0.027654333,2.930354708,-0.028058506,M,L
85,ISR,Israel,0.056658,4.166653634,0.007949286,H,M
86,ITA,Italy,0.057031433,0.698619126,-0.298735197,H,L
87,JAM,Jamaica,0.022156667,1.147409907,-0.013971535,L,L
88,JOR,Jordan,0.058347233,5.042779713,-0.001492985,H,L
89,JPN,Japan,0.0235835,0.970521958,0.003213911,L,M
90,KAZ,Kazakhstan,0.031823867,2.865384615,0.555707258,M,H
91,KEN,Kenya,0.041971,3.688122262,0.006708934,M,M
92,KGZ,Kyrgyzstan,0.057284567,1.38992168,0.064394921,H,H
93,KHM,Cambodia,0.018071,5.908445167,0.019544359,L,M
94,KIR,Kiribati,0,1.957137053,0.011521114,L,M
95,KNA,St. Kitts and Nevis,0.016083333,3.157677176,0.079336983,L,H
96,KOR,South Korea,0.04842,5.281287909,0.242864302,M,H
97,KWT,Kuwait,0.058614333,5.262377457,0.703988959,H,H
98,LAO,Laos,0.011632333,6.88847885,0.098797514,L,H
99,LBN,Lebanon,0.056605133,6.824673443,0.031721428,H,M
100,LBR,Liberia,0.030025333,2.785289372,0.004826385,M,M
101,LBY,Libya,0.049769333,3.639020059,-0.065759734,H,L
102,LCA,St. Lucia,0.024519333,1.912635207,0.04387359,L,M
103,LIE,Liechtenstein,0.0459258,3.937909695,0.054530777,M,M
104,LKA,Sri Lanka,0.024582667,5.370034508,0.03454655,L,M
105,LSO,Lesotho,0.0466913,3.905604784,0.013320648,M,M
106,LTU,Lithuania,0.0240493,4.333933049,0.180778257,L,H
107,LUX,Luxembourg,0.044486433,3.704818582,-0.479552842,M,L
108,LVA,Latvia,0.0162697,4.131785049,0.142971937,L,H
109,MAR,Morocco,0.0614187,3.893933449,0.031185997,H,M
110,MCO,Monaco,0.050650167,2.824229919,0,H,M
111,MDA,Moldova,0.061976267,3.019516599,0.07302148,H,H
112,MDG,Madagascar,0.013438333,2.412255785,0.002873004,L,M
113,MDV,Maldives,0.03,5.810327965,0.094721869,M,H
114,MEX,Mexico,0.035144667,2.595470614,0.002473639,M,M
115,MHL,Marshall Islands,0.042266667,1.164426615,0.056657766,M,H
116,MKD,Macedonia,0.073007767,1.426378674,0.135559927,H,H
117,MLI,Mali,0.031754333,4.767502508,0.00505739,M,M
118,MLT,Malta,0.061312,4.159475222,-0.118745913,H,L
119,MMR,Myanmar (Burma),0.016990667,9.002526977,0.015071453,L,M
120,MNE,Republic of Montenegro,0.0711283,2.337297619,0.129637813,H,H
121,MNG,Mongolia,0.028626433,4.582451076,0.11270613,M,H
122,MNP,Northern Mariana Islands,0.027211333,-1.809061587,0,M,M
123,MOZ,Mozambique,0.023379667,7.056537975,0.008345581,L,M
124,MRT,Mauritania,0.031915667,3.225684401,0.008683324,M,M
125,MUS,Mauritius,0.030628333,4.436614877,0.080810182,M,H
126,MWI,Malawi,0.024471333,4.168697963,-0.000297506,L,M
127,MYS,Malaysia,0.028509667,5.760681061,0.175517945,M,H
128,NAM,Namibia,0.051645333,4.199147663,0.04310845,H,M
129,NCL,New Caledonia,0.040568667,1.673707288,0.367495408,M,H
130,NER,Niger,0.030306,3.880988243,0.001120016,M,M
131,NGA,Nigeria,0.034283333,4.602952416,0.008578318,M,M
132,NIC,Nicaragua,0.027171,3.681017004,0.016682628,M,M
133,NLD,Netherlands,0.051163967,2.037766785,-0.047541027,H,L
134,NOR,Norway,0.025979833,2.402625979,0.012424852,M,M
135,NPL,Nepal,0.053653033,4.288628954,0.011122547,H,M
136,NZL,New Zealand,0.046249467,2.905399434,0.017393566,M,M
137,OMN,Oman,0.039250333,4.031732783,0.319836976,M,H
138,PAK,Pakistan,0.0628699,4.15069769,0.01487213,H,M
139,PAN,Panama,0.030061667,5.970275416,0.054716676,M,M
140,PER,Peru,0.030784,4.757870469,0.038219137,M,M
141,PHL,Philippines,0.024949333,4.406467959,0.019493412,L,M
142,PLW,Palau,0.036343,1.555680415,-0.103166266,M,L
143,PNG,Papua New Guinea,0.024799667,4.659652787,0.018064982,L,M
144,POL,Poland,0.056874967,3.67024356,-0.063203358,H,L
145,PRI,Puerto Rico,0.019243667,1.721472462,0,L,M
147,PRT,Portugal,0.022360433,1.324867109,0.01214727,L,M
148,PRY,Paraguay,-0.014652667,3.3070526,0.024053029,L,M
149,QAT,Qatar,0.068022333,10.44504599,0.102962129,H,H
150,ROU,Romania,0.071963333,2.012087489,-0.103357131,H,L
151,RUS,Russia,0.046757033,0.850835924,-0.458010664,M,L
152,RWA,Rwanda,0.030904333,5.885241146,0.001129576,M,M
153,SAU,Saudi Arabia,0.055398,3.424854946,0.056122717,H,H
154,SDN,Sudan,0.045502333,5.356744307,-0.007367104,M,L
155,SEN,Senegal,0.027921667,3.857110148,0.011419746,M,M
156,SGP,Singapore,0.031311,6.013750562,-0.30981922,M,L
157,SLB,Solomon Islands,-0.000671667,3.290559945,-0.007397816,L,L
158,SLE,Sierra Leone,0.028417333,2.92425391,0.000938438,M,M
159,SLV,El Salvador,0.035921333,2.522307615,0.021145474,M,M
161,SRB,Republic of Serbia,0.0736787,3.271532097,0.256273058,H,H
163,STP,Sao Tome and Principe,0.034096667,5.093714724,0.008182423,M,M
164,SUR,Suriname,0.026196333,2.376435954,-0.073319824,M,L
165,SVK,Slovakia,0.066709467,4.045484324,0.238812889,H,H
166,SVN,Slovenia,0.064182833,1.985203877,0.244698461,H,H
167,SWE,Sweden,0.021544167,2.188402066,-0.064817965,L,L
168,SWZ,Swaziland,0.041227667,3.119982138,2.59E-06,M,M
169,SYC,Seychelles,0.016863667,3.618240164,0.157757789,L,H
170,SYR,Syria,0.0487343,5.128291252,-0.066675148,M,L
171,TCD,Chad,0.029285333,5.92722469,0.000288814,M,M
172,TGO,Togo,0.044287,3.263078367,0.007243468,M,M
173,THA,Thailand,0.015134667,4.224296214,0.094902139,L,H
174,TJK,Tajikistan,0.062234467,1.518067256,0.024515577,H,M
175,TKM,Turkmenistan,0.049072167,4.566723427,0.49894346,M,H
176,TLS,Timor Leste,0.044476,4.549627836,0.016240462,M,M
177,TON,Tonga,0.038452667,2.038267013,0.01072254,M,M
178,TTO,Trinidad and Tobago,0.024404667,4.478116564,0.720060809,L,H
179,TUN,Tunisia,0.074542333,3.851390993,0.032420775,H,M
180,TUR,Turkey,0.053769333,4.517825698,0.077970774,H,H
181,TUV,Tuvalu,0.009192333,2.497863164,0.00670012,L,M
182,TZA,Tanzania,0.024516667,5.164858475,0.005492199,L,M
183,UGA,Uganda,0.041078667,6.587096222,0.003974138,M,M
184,UKR,Ukraine,0.049074967,-1.522865846,0.179758856,H,H
185,URY,Uruguay,-0.0140623,3.266570459,0.02086199,L,M
186,USA,United States,0.0586002,2.4822879,-0.142158368,H,L
187,UZB,Uzbekistan,0.0616132,4.272311318,0.115311438,H,H
188,VCT,St. Vincent and the Grenadines,0.024633,2.626210899,0.049100377,L,M
189,VEN,Venezuela,0.040093667,2.654288614,-0.009746582,M,L
190,VNM,Vietnam,0.012305667,6.836409767,0.069885833,L,H
191,VUT,Vanuatu,0.026907,2.894096275,0.003562032,M,M
192,WSM,Samoa,0.028039667,2.556754612,0.024580419,M,M
193,YEM,Yemen,0.028014333,2.170909631,-0.014319833,M,L
194,ZAF,South Africa,0.049042667,2.486107846,-0.006923987,M,L
195,ZMB,Zambia,0.03398,4.680591776,0.000845944,M,M
196,ZWE,Zimbabwe,0.028872333,1.065957817,-0.02844035,M,L
